taxpayer_id,tax_year,canton,income_chf,deductions_chf,taxable_income_chf,tax_rate_percent,tax_due_chf,payment_status,filing_date
TX-100001,2024,ZH,128500.00,18500.00,110000.00,11.80,12980.00,paid,2025-03-15
TX-100002,2024,BE,94200.00,12600.00,81600.00,10.20,8323.20,paid,2025-03-18
TX-100003,2024,LU,176300.00,24300.00,152000.00,13.40,20368.00,pending,2025-03-22
TX-100004,2024,UR,68800.00,9800.00,59000.00,8.70,5133.00,paid,2025-03-25
TX-100005,2024,SZ,221000.00,36000.00,185000.00,12.90,23865.00,overdue,2025-03-29
TX-100006,2024,SG,115400.00,15400.00,100000.00,10.90,10900.00,paid,2025-04-02
TX-100007,2024,GR,83750.00,11750.00,72000.00,9.40,6768.00,pending,2025-04-06
TX-100008,2024,AG,151900.00,21900.00,130000.00,12.10,15730.00,paid,2025-04-10
TX-100009,2024,TG,72700.00,10700.00,62000.00,8.90,5518.00,paid,2025-04-14
TX-100010,2024,GE,198600.00,28600.00,170000.00,14.20,24140.00,pending,2025-04-18
